Tam,Acc LSTM,Acc TDA,Acc TDA+LSTM,w
40.0,0.3125,0.2375,0.2375,0.0
80.0,0.25,0.2875,0.2875,0.0
120.0,0.2916666746139526,0.26666666666666666,0.26666666666666666,0.0
160.0,0.378125,0.24375,0.24375,0.0
200.0,0.37249999642372134,0.29,0.29,0.0
40.0,0.2625,0.2125,0.275,2.0
80.0,0.28125,0.28125,0.29375,2.0
120.0,0.2791666597127914,0.2583333333333333,0.2916666666666667,2.0
160.0,0.3875,0.234375,0.38125,2.0
200.0,0.3950000047683716,0.28,0.3875,2.0
40.0,0.2625,0.2625,0.3125,4.0
80.0,0.24375,0.24375,0.24375,4.0
120.0,0.29583333134651185,0.26249999999999996,0.30416666666666664,4.0
160.0,0.340625,0.215625,0.340625,4.0
200.0,0.34500000476837156,0.2475,0.3425,4.0
40.0,0.2375,0.225,0.2375,6.0
80.0,0.29375,0.23125,0.3,6.0
120.0,0.3208333343267441,0.2125,0.31666666666666665,6.0
160.0,0.340625,0.240625,0.340625,6.0
200.0,0.3625,0.22749999999999998,0.355,6.0
40.0,0.275,0.2875,0.275,8.0
80.0,0.2375,0.29375,0.2375,8.0
120.0,0.27083333134651183,0.275,0.275,8.0
160.0,0.340625,0.24375,0.33125,8.0
200.0,0.4150000035762787,0.29,0.41500000000000004,8.0
40.0,0.3,0.2875,0.2875,10.0
80.0,0.30625,0.25625,0.3125,10.0
120.0,0.25,0.27083333333333337,0.25,10.0
160.0,0.334375,0.228125,0.325,10.0
200.0,0.3974999964237213,0.2525,0.4,10.0
